,reference_distance,mesured_distance,signal_strength,delta
0,55.403,55.79,-87.15,0.38700000000000045
1,55.403,55.78,-87.21,0.37700000000000244
2,55.403,55.76,-87.86,0.3569999999999993
3,55.403,55.79,-87.31,0.38700000000000045
4,55.403,55.81,-87.57,0.4070000000000036
5,55.403,55.78,-87.18,0.37700000000000244
6,55.403,55.8,-87.43,0.39699999999999847
7,55.403,55.79,-87.1,0.38700000000000045
8,55.403,55.78,-87.41,0.37700000000000244
9,55.403,55.79,-87.43,0.38700000000000045
10,55.403,55.79,-87.45,0.38700000000000045
11,55.403,55.79,-87.71,0.38700000000000045
12,55.403,55.77,-86.81,0.36700000000000443
13,55.403,55.79,-87.25,0.38700000000000045
14,55.403,55.79,-87.1,0.38700000000000045
15,55.403,55.78,-87.34,0.37700000000000244
16,55.403,55.81,-86.92,0.4070000000000036
17,55.403,55.81,-87.84,0.4070000000000036
18,55.403,55.77,-87.24,0.36700000000000443
19,55.403,55.78,-87.46,0.37700000000000244
20,55.403,55.79,-87.27,0.38700000000000045
21,55.403,55.79,-87.04,0.38700000000000045
22,55.403,55.78,-87.61,0.37700000000000244
23,55.403,55.79,-87.47,0.38700000000000045
24,55.403,55.77,-87.56,0.36700000000000443
25,55.403,55.76,-87.67,0.3569999999999993
26,55.403,55.79,-88.02,0.38700000000000045
27,55.403,55.78,-88.05,0.37700000000000244
28,55.403,55.79,-87.77,0.38700000000000045
