,reference_distance,mesured_distance,signal_strength,delta
0,15.139,15.41,-85.73,0.2710000000000008
1,15.139,15.41,-85.6,0.2710000000000008
2,15.139,15.42,-85.76,0.2810000000000006
3,15.139,15.41,-85.68,0.2710000000000008
4,15.139,15.41,-86.47,0.2710000000000008
5,15.139,15.4,-85.5,0.261000000000001
6,15.139,15.41,-85.24,0.2710000000000008
7,15.139,15.41,-84.99,0.2710000000000008
8,15.139,15.39,-85.72,0.2510000000000012
9,15.139,15.4,-86.28,0.261000000000001
10,15.139,15.41,-85.43,0.2710000000000008
11,15.139,15.42,-85.73,0.2810000000000006
12,15.139,15.43,-85.33,0.29100000000000037
13,15.139,15.41,-85.56,0.2710000000000008
14,15.139,15.42,-85.76,0.2810000000000006
15,15.139,15.44,-85.16,0.30100000000000016
16,15.139,15.42,-85.56,0.2810000000000006
17,15.139,15.41,-85.09,0.2710000000000008
18,15.139,15.42,-84.88,0.2810000000000006
19,15.139,15.44,-86.05,0.30100000000000016
20,15.139,15.42,-85.02,0.2810000000000006
21,15.139,15.41,-85.56,0.2710000000000008
22,15.139,15.41,-84.97,0.2710000000000008
23,15.139,15.41,-85.41,0.2710000000000008
24,15.139,15.41,-85.2,0.2710000000000008
25,15.139,15.41,-85.75,0.2710000000000008
26,15.139,15.43,-84.98,0.29100000000000037
27,15.139,15.42,-85.52,0.2810000000000006
28,15.139,15.4,-85.81,0.261000000000001
29,15.139,15.42,-85.17,0.2810000000000006
