,reference_distance,mesured_distance,signal_strength,delta
0,70.417,70.84,-89.14,0.4230000000000018
1,70.417,70.86,-88.52,0.44299999999999784
2,70.417,70.87,-88.27,0.45300000000000296
3,70.417,70.86,-88.74,0.44299999999999784
4,70.417,70.85,-88.53,0.4329999999999927
5,70.417,70.83,-87.68,0.4129999999999967
6,70.417,70.85,-87.42,0.4329999999999927
7,70.417,70.84,-87.86,0.4230000000000018
8,70.417,70.81,-88.97,0.3930000000000007
9,70.417,70.87,-88.81,0.45300000000000296
10,70.417,70.82,-88.57,0.4029999999999916
11,70.417,70.85,-88.83,0.4329999999999927
12,70.417,70.85,-88.4,0.4329999999999927
13,70.417,70.88,-88.17,0.46299999999999386
14,70.417,70.88,-88.3,0.46299999999999386
15,70.417,70.86,-89.04,0.44299999999999784
16,70.417,70.87,-88.62,0.45300000000000296
17,70.417,70.89,-88.83,0.472999999999999
18,70.417,70.86,-88.72,0.44299999999999784
19,70.417,70.86,-88.33,0.44299999999999784
20,70.417,70.88,-88.25,0.46299999999999386
21,70.417,70.87,-88.2,0.45300000000000296
22,70.417,70.86,-88.81,0.44299999999999784
23,70.417,70.89,-88.82,0.472999999999999
24,70.417,70.84,-88.43,0.4230000000000018
25,70.417,70.86,-88.15,0.44299999999999784
26,70.417,70.87,-88.28,0.45300000000000296
27,70.417,70.85,-88.4,0.4329999999999927
28,70.417,70.86,-88.54,0.44299999999999784
29,70.417,70.85,-87.99,0.4329999999999927
