,reference_distance,mesured_distance,signal_strength,delta
0,20.718,21.14,-87.53,0.4220000000000006
1,20.718,21.13,-87.85,0.41199999999999903
2,20.718,21.17,-86.85,0.45200000000000173
3,20.718,21.2,-87.54,0.4819999999999993
4,20.718,21.18,-86.59,0.46199999999999974
5,20.718,21.14,-86.75,0.4220000000000006
6,20.718,21.17,-87.31,0.45200000000000173
7,20.718,21.19,-86.51,0.4720000000000013
8,20.718,21.17,-87.09,0.45200000000000173
9,20.718,21.15,-87.56,0.4319999999999986
10,20.718,21.21,-86.88,0.4920000000000009
11,20.718,21.16,-87.02,0.44200000000000017
12,20.718,21.19,-87.35,0.4720000000000013
13,20.718,21.21,-88.09,0.4920000000000009
14,20.718,21.17,-87.51,0.45200000000000173
15,20.718,21.16,-88.05,0.44200000000000017
16,20.718,21.17,-88.59,0.45200000000000173
17,20.718,21.15,-88.36,0.4319999999999986
18,20.718,21.15,-87.13,0.4319999999999986
19,20.718,21.16,-87.32,0.44200000000000017
20,20.718,21.16,-88.66,0.44200000000000017
21,20.718,21.16,-86.96,0.44200000000000017
22,20.718,21.16,-88.8,0.44200000000000017
23,20.718,21.15,-88.45,0.4319999999999986
24,20.718,21.21,-87.28,0.4920000000000009
25,20.718,21.12,-87.66,0.402000000000001
26,20.718,21.16,-89.11,0.44200000000000017
27,20.718,21.14,-87.98,0.4220000000000006
28,20.718,21.15,-86.62,0.4319999999999986
29,20.718,21.13,-88.26,0.41199999999999903
