,reference_distance,mesured_distance,signal_strength,delta
0,9.948,10.25,-83.97,0.3019999999999996
1,9.948,10.26,-84.13,0.3119999999999994
2,9.948,10.26,-84.01,0.3119999999999994
3,9.948,10.23,-84.6,0.28200000000000003
4,9.948,10.25,-84.26,0.3019999999999996
5,9.948,10.26,-83.53,0.3119999999999994
6,9.948,10.25,-84.28,0.3019999999999996
7,9.948,10.25,-84.59,0.3019999999999996
8,9.948,10.25,-84.66,0.3019999999999996
9,9.948,10.24,-84.57,0.2919999999999998
10,9.948,10.22,-84.81,0.27200000000000024
11,9.948,10.25,-84.96,0.3019999999999996
12,9.948,10.25,-84.11,0.3019999999999996
13,9.948,10.24,-83.7,0.2919999999999998
14,9.948,10.24,-84.06,0.2919999999999998
15,9.948,10.26,-84.2,0.3119999999999994
16,9.948,10.25,-84.16,0.3019999999999996
17,9.948,10.27,-83.83,0.3219999999999992
18,9.948,10.25,-83.51,0.3019999999999996
19,9.948,10.24,-83.9,0.2919999999999998
20,9.948,10.25,-84.29,0.3019999999999996
21,9.948,10.24,-84.0,0.2919999999999998
22,9.948,10.25,-84.4,0.3019999999999996
23,9.948,10.24,-84.62,0.2919999999999998
24,9.948,10.23,-84.49,0.28200000000000003
25,9.948,10.22,-84.47,0.27200000000000024
26,9.948,10.27,-84.33,0.3219999999999992
27,9.948,10.25,-84.26,0.3019999999999996
28,9.948,10.27,-84.21,0.3219999999999992
29,9.948,10.24,-84.62,0.2919999999999998
