,reference_distance,mesured_distance,signal_strength,delta
0,119.852,120.42,-94.06,0.5679999999999978
1,119.852,120.42,-93.99,0.5679999999999978
2,119.852,120.46,-94.21,0.6079999999999899
3,119.852,120.46,-93.68,0.6079999999999899
4,119.852,120.49,-94.01,0.637999999999991
5,119.852,120.47,-93.35,0.617999999999995
6,119.852,120.46,-94.06,0.6079999999999899
7,119.852,120.48,-93.98,0.6280000000000001
8,119.852,120.46,-93.7,0.6079999999999899
9,119.852,120.53,-93.89,0.6779999999999973
10,119.852,120.45,-93.91,0.597999999999999
11,119.852,120.42,-93.96,0.5679999999999978
12,119.852,120.44,-93.91,0.5879999999999939
13,119.852,120.47,-93.9,0.617999999999995
14,119.852,120.47,-93.81,0.617999999999995
15,119.852,120.44,-93.77,0.5879999999999939
16,119.852,120.52,-93.46,0.6679999999999922
17,119.852,120.48,-93.8,0.6280000000000001
18,119.852,120.45,-93.6,0.597999999999999
19,119.852,120.45,-93.17,0.597999999999999
20,119.852,120.47,-93.61,0.617999999999995
21,119.852,120.48,-93.52,0.6280000000000001
22,119.852,120.46,-93.7,0.6079999999999899
23,119.852,120.46,-93.8,0.6079999999999899
24,119.852,120.43,-93.71,0.578000000000003
25,119.852,120.47,-94.08,0.617999999999995
26,119.852,120.44,-93.69,0.5879999999999939
27,119.852,120.41,-94.01,0.5579999999999927
28,119.852,120.48,-94.42,0.6280000000000001
29,119.852,120.47,-93.82,0.617999999999995
