,reference_distance,mesured_distance,signal_strength,delta
0,143.425,144.07,-94.13,0.6449999999999818
1,143.425,144.13,-94.43,0.7049999999999841
2,143.425,144.13,-94.23,0.7049999999999841
3,143.425,144.06,-94.58,0.6349999999999909
4,143.425,144.12,-93.79,0.6949999999999932
5,143.425,144.14,-94.39,0.714999999999975
6,143.425,144.07,-93.69,0.6449999999999818
7,143.425,144.09,-94.3,0.664999999999992
8,143.425,144.12,-94.48,0.6949999999999932
9,143.425,144.06,-94.43,0.6349999999999909
10,143.425,144.08,-94.52,0.6550000000000011
11,143.425,144.13,-94.46,0.7049999999999841
12,143.425,144.08,-94.01,0.6550000000000011
13,143.425,144.08,-94.29,0.6550000000000011
14,143.425,144.17,-94.26,0.7449999999999761
15,143.425,144.09,-94.5,0.664999999999992
16,143.425,144.13,-94.0,0.7049999999999841
17,143.425,144.15,-94.47,0.7249999999999943
18,143.425,144.1,-94.22,0.674999999999983
19,143.425,144.12,-94.17,0.6949999999999932
20,143.425,144.15,-94.4,0.7249999999999943
21,143.425,144.11,-94.17,0.6850000000000023
22,143.425,144.12,-94.41,0.6949999999999932
23,143.425,144.14,-94.35,0.714999999999975
24,143.425,144.12,-94.11,0.6949999999999932
25,143.425,144.07,-93.5,0.6449999999999818
26,143.425,144.1,-93.95,0.674999999999983
27,143.425,144.15,-94.09,0.7249999999999943
28,143.425,144.05,-94.17,0.625
29,143.425,144.05,-94.35,0.625
