,reference_distance,mesured_distance,signal_strength,delta
0,60.128,60.54,-87.72,0.41199999999999903
1,60.128,60.53,-88.36,0.402000000000001
2,60.128,60.57,-88.17,0.44200000000000017
3,60.128,60.53,-88.53,0.402000000000001
4,60.128,60.52,-88.3,0.392000000000003
5,60.128,60.56,-88.06,0.43200000000000216
6,60.128,60.55,-88.48,0.42199999999999704
7,60.128,60.51,-88.49,0.3819999999999979
8,60.128,60.52,-88.26,0.392000000000003
9,60.128,60.53,-88.31,0.402000000000001
10,60.128,60.57,-88.72,0.44200000000000017
11,60.128,60.57,-88.61,0.44200000000000017
12,60.128,60.54,-88.59,0.41199999999999903
13,60.128,60.5,-88.11,0.3719999999999999
14,60.128,60.54,-88.01,0.41199999999999903
15,60.128,60.54,-87.76,0.41199999999999903
16,60.128,60.56,-87.59,0.43200000000000216
17,60.128,60.53,-88.04,0.402000000000001
18,60.128,60.58,-88.34,0.4519999999999982
19,60.128,60.54,-88.34,0.41199999999999903
20,60.128,60.56,-88.1,0.43200000000000216
21,60.128,60.53,-88.07,0.402000000000001
22,60.128,60.56,-86.99,0.43200000000000216
23,60.128,60.53,-87.68,0.402000000000001
24,60.128,60.55,-88.21,0.42199999999999704
25,60.128,60.54,-88.26,0.41199999999999903
26,60.128,60.54,-88.49,0.41199999999999903
27,60.128,60.54,-88.22,0.41199999999999903
