,reference_distance,mesured_distance,signal_strength,delta
0,79.841,80.29,-88.34,0.4490000000000123
1,79.841,80.28,-88.39,0.43900000000000716
2,79.841,80.3,-88.69,0.4590000000000032
3,79.841,80.33,-88.09,0.4890000000000043
4,79.841,80.32,-88.16,0.4789999999999992
5,79.841,80.31,-88.5,0.4690000000000083
6,79.841,80.29,-88.41,0.4490000000000123
7,79.841,80.3,-88.26,0.4590000000000032
8,79.841,80.29,-88.17,0.4490000000000123
9,79.841,80.3,-88.23,0.4590000000000032
10,79.841,80.29,-88.22,0.4490000000000123
11,79.841,80.34,-87.64,0.49900000000000944
12,79.841,80.3,-87.5,0.4590000000000032
13,79.841,80.28,-88.28,0.43900000000000716
14,79.841,80.31,-88.01,0.4690000000000083
15,79.841,80.29,-87.55,0.4490000000000123
16,79.841,80.28,-87.37,0.43900000000000716
17,79.841,80.31,-87.39,0.4690000000000083
18,79.841,80.29,-88.22,0.4490000000000123
19,79.841,80.3,-87.65,0.4590000000000032
20,79.841,80.3,-87.6,0.4590000000000032
21,79.841,80.31,-88.04,0.4690000000000083
22,79.841,80.29,-87.89,0.4490000000000123
23,79.841,80.3,-87.43,0.4590000000000032
24,79.841,80.29,-88.33,0.4490000000000123
25,79.841,80.32,-88.12,0.4789999999999992
26,79.841,80.31,-86.74,0.4690000000000083
27,79.841,80.32,-88.0,0.4789999999999992
28,79.841,80.3,-87.93,0.4590000000000032
