,reference_distance,mesured_distance,signal_strength,delta
0,129.46,130.14,-95.24,0.6799999999999784
1,129.46,130.08,-95.29,0.6200000000000045
2,129.46,130.1,-94.97,0.6399999999999864
3,129.46,130.06,-95.05,0.5999999999999943
4,129.46,130.1,-95.76,0.6399999999999864
5,129.46,130.04,-95.51,0.5799999999999841
6,129.46,130.06,-95.33,0.5999999999999943
7,129.46,130.1,-95.33,0.6399999999999864
8,129.46,130.08,-94.18,0.6200000000000045
9,129.46,130.09,-92.91,0.6299999999999955
10,129.46,130.09,-92.64,0.6299999999999955
11,129.46,130.08,-92.46,0.6200000000000045
12,129.46,130.08,-92.08,0.6200000000000045
13,129.46,130.1,-92.89,0.6399999999999864
14,129.46,130.11,-92.56,0.6500000000000057
15,129.46,130.1,-92.78,0.6399999999999864
16,129.46,130.11,-92.79,0.6500000000000057
17,129.46,130.13,-92.66,0.6699999999999875
18,129.46,130.11,-92.97,0.6500000000000057
19,129.46,130.11,-92.71,0.6500000000000057
20,129.46,130.1,-92.22,0.6399999999999864
21,129.46,130.12,-92.99,0.6599999999999966
22,129.46,130.09,-93.81,0.6299999999999955
23,129.46,130.05,-94.54,0.5900000000000034
24,129.46,130.1,-93.9,0.6399999999999864
25,129.46,130.09,-94.19,0.6299999999999955
26,129.46,130.1,-92.9,0.6399999999999864
27,129.46,130.11,-94.02,0.6500000000000057
28,129.46,130.1,-93.34,0.6399999999999864
