,reference_distance,mesured_distance,signal_strength,delta
0,135.946,136.58,-95.9,0.6340000000000146
1,135.946,136.54,-96.4,0.5939999999999941
2,135.946,136.6,-95.83,0.6539999999999964
3,135.946,136.56,-95.98,0.6140000000000043
4,135.946,136.57,-95.42,0.6239999999999952
5,135.946,136.51,-95.18,0.563999999999993
6,135.946,136.55,-95.03,0.6040000000000134
7,135.946,136.54,-94.94,0.5939999999999941
8,135.946,136.6,-95.02,0.6539999999999964
9,135.946,136.6,-94.95,0.6539999999999964
10,135.946,136.55,-94.66,0.6040000000000134
11,135.946,136.6,-94.42,0.6539999999999964
12,135.946,136.63,-94.63,0.6839999999999975
13,135.946,136.6,-94.85,0.6539999999999964
14,135.946,136.55,-95.04,0.6040000000000134
15,135.946,136.61,-94.96,0.6640000000000157
16,135.946,136.64,-95.14,0.6939999999999884
17,135.946,136.54,-95.32,0.5939999999999941
18,135.946,136.59,-95.14,0.6440000000000055
19,135.946,136.59,-94.91,0.6440000000000055
20,135.946,136.67,-94.85,0.7239999999999895
21,135.946,136.54,-95.01,0.5939999999999941
22,135.946,136.58,-95.05,0.6340000000000146
23,135.946,136.59,-95.47,0.6440000000000055
24,135.946,136.64,-95.49,0.6939999999999884
25,135.946,136.6,-95.76,0.6539999999999964
26,135.946,136.62,-95.84,0.6740000000000066
27,135.946,136.61,-95.99,0.6640000000000157
28,135.946,136.62,-95.95,0.6740000000000066
29,135.946,136.58,-94.83,0.6340000000000146
