,reference_distance,mesured_distance,signal_strength,delta
0,45.528,45.89,-87.29,0.3620000000000019
1,45.528,45.88,-86.94,0.35200000000000387
2,45.528,45.88,-88.06,0.35200000000000387
3,45.528,45.85,-87.23,0.32200000000000273
4,45.528,45.89,-86.99,0.3620000000000019
5,45.528,45.88,-87.73,0.35200000000000387
6,45.528,45.89,-87.41,0.3620000000000019
7,45.528,45.9,-86.04,0.3719999999999999
8,45.528,45.92,-87.16,0.392000000000003
9,45.528,45.85,-88.35,0.32200000000000273
10,45.528,45.89,-87.48,0.3620000000000019
11,45.528,45.9,-87.8,0.3719999999999999
12,45.528,45.9,-87.94,0.3719999999999999
13,45.528,45.87,-87.43,0.34199999999999875
14,45.528,45.86,-86.6,0.33200000000000074
15,45.528,45.93,-87.06,0.402000000000001
16,45.528,45.86,-86.9,0.33200000000000074
17,45.528,45.9,-86.92,0.3719999999999999
18,45.528,45.91,-87.09,0.3819999999999979
19,45.528,45.88,-87.17,0.35200000000000387
20,45.528,45.9,-87.34,0.3719999999999999
21,45.528,45.95,-86.85,0.42200000000000415
22,45.528,45.9,-86.87,0.3719999999999999
23,45.528,45.89,-87.17,0.3620000000000019
24,45.528,45.91,-87.64,0.3819999999999979
25,45.528,45.91,-88.12,0.3819999999999979
26,45.528,45.9,-86.93,0.3719999999999999
27,45.528,45.92,-87.23,0.392000000000003
28,45.528,45.88,-87.3,0.35200000000000387
29,45.528,45.89,-87.73,0.3620000000000019
