,reference_distance,mesured_distance,signal_strength,delta
0,2.037,2.29,-78.39,0.2530000000000001
1,2.037,2.2,-80.24,0.16300000000000026
2,2.037,2.3,-79.72,0.2629999999999999
3,2.037,2.27,-79.64,0.2330000000000001
4,2.037,2.24,-79.28,0.2030000000000003
5,2.037,2.32,-79.6,0.2829999999999999
6,2.037,2.22,-79.87,0.18300000000000027
7,2.037,2.19,-79.94,0.15300000000000002
8,2.037,2.27,-80.13,0.2330000000000001
9,2.037,2.25,-80.03,0.21300000000000008
10,2.037,2.27,-80.18,0.2330000000000001
11,2.037,2.23,-79.85,0.19300000000000006
12,2.037,2.23,-80.51,0.19300000000000006
13,2.037,2.34,-79.67,0.30299999999999994
14,2.037,2.29,-80.08,0.2530000000000001
15,2.037,2.17,-80.5,0.133
16,2.037,2.2,-80.72,0.16300000000000026
17,2.037,2.26,-80.72,0.22299999999999986
18,2.037,2.17,-80.8,0.133
19,2.037,2.22,-81.19,0.18300000000000027
20,2.037,2.23,-80.14,0.19300000000000006
21,2.037,2.3,-80.72,0.2629999999999999
22,2.037,2.21,-80.2,0.17300000000000004
23,2.037,2.16,-80.43,0.12300000000000022
24,2.037,2.29,-80.01,0.2530000000000001
25,2.037,2.21,-79.77,0.17300000000000004
26,2.037,2.23,-80.76,0.19300000000000006
27,2.037,2.29,-79.51,0.2530000000000001
28,2.037,2.26,-80.64,0.22299999999999986
