,reference_distance,mesured_distance,signal_strength,delta
0,110.415,111.02,-91.29,0.6049999999999898
1,110.415,110.99,-91.36,0.5749999999999886
2,110.415,111.01,-91.43,0.5949999999999989
3,110.415,111.04,-90.73,0.625
4,110.415,111.06,-90.9,0.644999999999996
5,110.415,111.01,-90.66,0.5949999999999989
6,110.415,111.03,-90.84,0.6149999999999949
7,110.415,111.0,-91.42,0.5849999999999937
8,110.415,111.0,-90.72,0.5849999999999937
9,110.415,110.99,-91.31,0.5749999999999886
10,110.415,111.04,-90.59,0.625
11,110.415,111.0,-91.18,0.5849999999999937
12,110.415,111.04,-90.93,0.625
13,110.415,111.02,-91.17,0.6049999999999898
14,110.415,111.01,-91.39,0.5949999999999989
15,110.415,111.04,-91.39,0.625
16,110.415,111.03,-91.74,0.6149999999999949
17,110.415,111.03,-91.4,0.6149999999999949
18,110.415,111.03,-91.73,0.6149999999999949
19,110.415,111.03,-91.59,0.6149999999999949
20,110.415,111.0,-91.21,0.5849999999999937
21,110.415,111.01,-91.49,0.5949999999999989
22,110.415,111.03,-91.71,0.6149999999999949
23,110.415,111.02,-91.17,0.6049999999999898
24,110.415,111.02,-91.37,0.6049999999999898
25,110.415,111.0,-91.55,0.5849999999999937
26,110.415,110.99,-91.75,0.5749999999999886
27,110.415,111.02,-90.43,0.6049999999999898
28,110.415,111.02,-91.16,0.6049999999999898
29,110.415,111.01,-91.06,0.5949999999999989
