,reference_distance,mesured_distance,signal_strength,delta
0,115.599,115.21,-93.45,-0.38900000000001
1,115.599,115.22,-93.79,-0.3790000000000049
2,115.599,115.24,-93.22,-0.35900000000000887
3,115.599,115.19,-93.55,-0.409000000000006
4,115.599,115.22,-93.14,-0.3790000000000049
5,115.599,115.21,-93.1,-0.38900000000001
6,115.599,115.21,-93.85,-0.38900000000001
7,115.599,115.23,-93.45,-0.3689999999999998
8,115.599,115.26,-93.91,-0.33899999999999864
9,115.599,115.22,-93.11,-0.3790000000000049
10,115.599,115.22,-93.19,-0.3790000000000049
11,115.599,115.2,-92.54,-0.3990000000000009
12,115.599,115.23,-93.14,-0.3689999999999998
13,115.599,115.26,-92.79,-0.33899999999999864
14,115.599,115.21,-92.71,-0.38900000000001
15,115.599,115.23,-92.65,-0.3689999999999998
16,115.599,115.19,-92.54,-0.409000000000006
17,115.599,115.23,-93.28,-0.3689999999999998
18,115.599,115.21,-92.15,-0.38900000000001
19,115.599,115.22,-92.91,-0.3790000000000049
20,115.599,115.23,-92.82,-0.3689999999999998
21,115.599,115.21,-92.9,-0.38900000000001
22,115.599,115.21,-92.4,-0.38900000000001
23,115.599,115.2,-93.04,-0.3990000000000009
24,115.599,115.24,-92.82,-0.35900000000000887
25,115.599,115.23,-92.66,-0.3689999999999998
26,115.599,115.24,-92.86,-0.35900000000000887
27,115.599,115.25,-93.05,-0.34900000000000375
28,115.599,115.18,-92.4,-0.41899999999999693
29,115.599,115.22,-92.28,-0.3790000000000049
