,reference_distance,mesured_distance,signal_strength,delta
0,4.054,4.3,-79.49,0.24599999999999955
1,4.054,4.28,-80.88,0.22599999999999998
2,4.054,4.22,-80.51,0.16599999999999948
3,4.054,4.19,-79.88,0.13600000000000012
4,4.054,4.2,-80.12,0.1459999999999999
5,4.054,4.26,-80.83,0.20599999999999952
6,4.054,4.21,-81.14,0.1559999999999997
7,4.054,4.25,-80.32,0.19599999999999973
8,4.054,4.23,-80.58,0.17600000000000016
9,4.054,4.31,-80.49,0.25599999999999934
10,4.054,4.29,-81.91,0.23599999999999977
11,4.054,4.21,-81.65,0.1559999999999997
12,4.054,4.3,-82.18,0.24599999999999955
13,4.054,4.21,-81.51,0.1559999999999997
14,4.054,4.27,-80.04,0.2159999999999993
15,4.054,4.17,-80.89,0.11599999999999966
16,4.054,4.24,-82.44,0.18599999999999994
17,4.054,4.3,-81.35,0.24599999999999955
18,4.054,4.16,-81.94,0.10599999999999987
19,4.054,4.31,-81.95,0.25599999999999934
20,4.054,4.27,-81.21,0.2159999999999993
21,4.054,4.26,-81.53,0.20599999999999952
22,4.054,4.3,-81.65,0.24599999999999955
23,4.054,4.2,-79.69,0.1459999999999999
24,4.054,4.29,-81.33,0.23599999999999977
25,4.054,4.28,-81.34,0.22599999999999998
26,4.054,4.3,-81.17,0.24599999999999955
27,4.054,4.21,-80.04,0.1559999999999997
28,4.054,4.31,-79.45,0.25599999999999934
