,reference_distance,mesured_distance,signal_strength,delta
0,4.978,5.11,-81.0,0.13200000000000056
1,4.978,5.15,-80.48,0.1720000000000006
2,4.978,5.15,-80.34,0.1720000000000006
3,4.978,5.18,-81.34,0.20199999999999996
4,4.978,5.22,-80.75,0.242
5,4.978,5.17,-81.29,0.19200000000000017
6,4.978,5.2,-81.78,0.22200000000000042
7,4.978,5.21,-81.86,0.2320000000000002
8,4.978,5.2,-81.85,0.22200000000000042
9,4.978,5.22,-81.78,0.242
10,4.978,5.18,-81.94,0.20199999999999996
11,4.978,5.19,-82.28,0.21200000000000063
12,4.978,5.2,-82.6,0.22200000000000042
13,4.978,5.19,-82.71,0.21200000000000063
14,4.978,5.18,-82.3,0.20199999999999996
15,4.978,5.2,-82.87,0.22200000000000042
16,4.978,5.18,-81.42,0.20199999999999996
17,4.978,5.16,-81.6,0.18200000000000038
18,4.978,5.2,-81.9,0.22200000000000042
19,4.978,5.2,-80.76,0.22200000000000042
20,4.978,5.21,-81.29,0.2320000000000002
21,4.978,5.2,-81.04,0.22200000000000042
22,4.978,5.21,-81.0,0.2320000000000002
23,4.978,5.21,-81.06,0.2320000000000002
24,4.978,5.2,-82.0,0.22200000000000042
25,4.978,5.19,-81.63,0.21200000000000063
26,4.978,5.24,-81.41,0.26200000000000045
27,4.978,5.13,-81.21,0.15200000000000014
28,4.978,5.19,-80.66,0.21200000000000063
29,4.978,5.2,-81.86,0.22200000000000042
