,reference_distance,mesured_distance,signal_strength,delta
0,95.46,95.98,-93.09,0.5200000000000102
1,95.46,96.05,-92.52,0.5900000000000034
2,95.46,96.02,-92.19,0.5600000000000023
3,95.46,96.01,-93.08,0.5500000000000114
4,95.46,95.99,-92.73,0.5300000000000011
5,95.46,96.01,-92.74,0.5500000000000114
6,95.46,95.96,-92.51,0.5
7,95.46,96.01,-92.17,0.5500000000000114
8,95.46,96.03,-91.3,0.5700000000000074
9,95.46,95.96,-91.49,0.5
10,95.46,95.99,-92.01,0.5300000000000011
11,95.46,95.99,-92.49,0.5300000000000011
12,95.46,95.98,-92.24,0.5200000000000102
13,95.46,95.99,-92.07,0.5300000000000011
14,95.46,96.02,-92.12,0.5600000000000023
15,95.46,95.97,-91.49,0.5100000000000051
16,95.46,96.02,-91.31,0.5600000000000023
17,95.46,95.99,-91.89,0.5300000000000011
18,95.46,95.98,-91.11,0.5200000000000102
19,95.46,95.98,-91.49,0.5200000000000102
20,95.46,96.0,-91.78,0.5400000000000063
21,95.46,96.02,-91.66,0.5600000000000023
22,95.46,95.98,-91.41,0.5200000000000102
23,95.46,95.99,-92.28,0.5300000000000011
24,95.46,95.98,-92.1,0.5200000000000102
25,95.46,95.97,-91.51,0.5100000000000051
26,95.46,96.02,-91.67,0.5600000000000023
27,95.46,95.97,-91.62,0.5100000000000051
28,95.46,95.98,-91.25,0.5200000000000102
