FF:07DD:BB|115.21|-93.45|7000
FF:07DD:BB|115.22|-93.79|7000
FF:07DD:BB|115.24|-93.22|7000
FF:07DD:BB|115.19|-93.55|7000
FF:07DD:BB|115.22|-93.14|7000
FF:07DD:BB|115.21|-93.10|7000
FF:07DD:BB|115.21|-93.85|7000
FF:07DD:BB|115.23|-93.45|7000
FF:07DD:BB|115.26|-93.91|7000
FF:07DD:BB|115.22|-93.11|7000
FF:07DD:BB|115.22|-93.19|7000
FF:07DD:BB|115.20|-92.54|7000
FF:07DD:BB|115.23|-93.14|7000
FF:07DD:BB|115.26|-92.79|7000
FF:07DD:BB|115.21|-92.71|7000
FF:07DD:BB|115.23|-92.65|7000
FF:07DD:BB|115.19|-92.54|7000
FF:07DD:BB|115.23|-93.28|7000
FF:07DD:BB|115.21|-92.15|7000
FF:07DD:BB|115.22|-92.91|7000
FF:07DD:BB|115.23|-92.82|7000
FF:07DD:BB|115.21|-92.90|7000
FF:07DD:BB|115.21|-92.40|7000
FF:07DD:BB|115.20|-93.04|7000
FF:07DD:BB|115.24|-92.82|7000
FF:07DD:BB|115.23|-92.66|7000
FF:07DD:BB|115.24|-92.86|7000
FF:07DD:BB|115.25|-93.05|7000
FF:07DD:BB|115.18|-92.40|7000
FF:07DD:BB|115.22|-92.28|7000
