,reference_distance,mesured_distance,signal_strength,delta
118,12.519,12.86,-82.79,0.3409999999999993
119,12.519,12.88,-84.29,0.36100000000000065
120,12.519,12.86,-83.94,0.3409999999999993
121,12.519,12.82,-84.7,0.30100000000000016
122,12.519,12.85,-84.24,0.3309999999999995
123,12.519,12.85,-84.82,0.3309999999999995
124,12.519,12.84,-84.91,0.32099999999999973
125,12.519,12.86,-83.06,0.3409999999999993
126,12.519,12.81,-83.84,0.29100000000000037
127,12.519,12.82,-83.97,0.30100000000000016
128,12.519,12.84,-83.28,0.32099999999999973
129,12.519,12.84,-84.25,0.32099999999999973
130,12.519,12.85,-82.58,0.3309999999999995
131,12.519,12.87,-84.04,0.3509999999999991
132,12.519,12.86,-83.41,0.3409999999999993
133,12.519,12.86,-85.09,0.3409999999999993
134,12.519,12.84,-83.15,0.32099999999999973
135,12.519,12.79,-84.5,0.270999999999999
136,12.519,12.85,-82.68,0.3309999999999995
137,12.519,12.84,-84.67,0.32099999999999973
138,12.519,12.82,-85.33,0.30100000000000016
139,12.519,12.86,-84.89,0.3409999999999993
140,12.519,12.8,-83.81,0.2810000000000006
141,12.519,12.82,-85.21,0.30100000000000016
142,12.519,12.88,-85.33,0.36100000000000065
143,12.519,12.87,-84.66,0.3509999999999991
144,12.519,12.86,-82.68,0.3409999999999993
145,12.519,12.87,-83.77,0.3509999999999991
146,12.519,12.86,-84.91,0.3409999999999993
147,12.519,12.83,-83.01,0.31099999999999994
148,125.104,125.75,-92.05,0.6460000000000008
149,125.104,125.77,-92.78,0.6659999999999968
150,125.104,125.73,-92.89,0.6260000000000048
151,125.104,125.74,-92.51,0.6359999999999957
152,125.104,125.79,-92.86,0.686000000000007
153,125.104,125.73,-92.9,0.6260000000000048
154,125.104,125.74,-92.8,0.6359999999999957
155,125.104,125.74,-92.48,0.6359999999999957
156,125.104,125.73,-93.09,0.6260000000000048
157,125.104,125.73,-92.67,0.6260000000000048
158,125.104,125.76,-93.19,0.6560000000000059
159,125.104,125.7,-93.06,0.5960000000000036
160,125.104,125.75,-93.22,0.6460000000000008
161,125.104,125.81,-93.08,0.7060000000000031
162,125.104,125.71,-93.19,0.6059999999999945
163,125.104,125.76,-92.75,0.6560000000000059
164,125.104,125.76,-92.43,0.6560000000000059
165,125.104,125.74,-91.51,0.6359999999999957
166,125.104,125.7,-92.14,0.5960000000000036
167,125.104,125.75,-92.08,0.6460000000000008
168,125.104,125.71,-92.06,0.6059999999999945
169,125.104,125.71,-91.42,0.6059999999999945
170,125.104,125.75,-91.87,0.6460000000000008
171,125.104,125.73,-91.21,0.6260000000000048
172,125.104,125.77,-92.05,0.6659999999999968
173,125.104,125.75,-91.78,0.6460000000000008
174,125.104,125.71,-91.73,0.6059999999999945
175,125.104,125.76,-92.02,0.6560000000000059
176,125.104,125.7,-91.98,0.5960000000000036
177,125.104,125.66,-91.37,0.5559999999999974
178,129.46,130.14,-95.24,0.6799999999999784
179,129.46,130.08,-95.29,0.6200000000000045
